detail	date	price(in_dollar)	number_of_bed	rating_value	amount_of_answers	property_type	city	country	state
♨ Cedar Coast Lodge - Coastal retreat w/ HOT TUB	Jun 4 - 9	480.0	5 beds	4.82	125	Home	Shirley	Canada	
LUXURY 5★s ICON BRICKELL CONDO@47TH, GYM/POOL	Jun 27 - Jul 4	398.0	2 beds	4.89	605	Apartment	Miami	US	Florida
Mansion in the Park - garden view queen en suite	Jun 4 - 10	148.0	3 queen beds	4.99	93	Room	Kansas City	US	Missouri
Dome L'Albatros | Private Spa | BBQ Zone	Jul 25 - 31	322.0	6 beds	4.86	196	Dome	Lac-Supérieur	Canada	
The Majesta ! Incredible Sunset !	Jun 1 - 6	315.0	1 king bed	5.0	11	Chalet	Saint-Damien	Canada	
Heaven Lodge, entire house surrounded by nature	Jun 2 - 7	128.0	1 king bed	4.86	155	Home	Tulum	Mexico	
☆King Bed Apartment☆ Suk-Ha ☆ La Veleta	Jun 1 - 6	55.0	4 beds	4.6	73	Apartment	Tulum	Mexico	
Newly-Constructed Riverfront Chalet	Jun 4 - 9	360.0	2 beds	4.97	95	Chalet	Durham	Canada	
Yellowstone Luxury Tent; sleeps 3, 1 king +1 futon	Jun 15 - 20	224.0	2 queen beds	5.0	31	Tent	Island Park	US	Idaho
A-Frame Apogee | Hot Tub · Epic Views · Swing Set	Jun 19 - 24	227.0	1 queen bed	4.96	166	Cabin	Arrowbear Lake	US	California
The Nest at Crash Boat. Only waterfront on Beach	Aug 7 - 12	363.0	3 beds	4.9	143	Home	Borinquen	Puerto Rico	
Cozy Riverfront Cottage Retreat with Dock	Jun 11 - 16	232.0	1 bed	4.84	55	Cottage	Wasaga Beach	Canada	
The Ruby -A Rustic Red Ark tiny home	Jun 18 - 23	81.0	2 beds	4.98	43	Tiny home	Blockhouse	Canada	
Romantic lakefront estate with lake view & deck	Jun 2 - 7	271.0	2 beds	5.0	311	Guesthouse	Peachland	Canada	
The Vermont Dream Cabin on 70 Acres	Jun 4 - 9	219.0	1 king bed	4.89	136	Cabin	Shaftsbury	US	Vermont
Jungle Lodge at Nahouse in Tulum	Jun 1 - 6	109.0	1 king bed	0.0	0	Cabin	Tulum	Mexico	
Cougar Dome at Winderdome Resort!	Aug 27 - Sep 1	335.0	3 beds	5.0	16	Dome	Windermere	Canada	
Cool Clean Condo with Brilliant Oceanfront View	Jun 25 - Jul 1	261.0	2 beds	4.58	108	Condo	Myrtle Beach	US	South Carolina
Beachfront Laguna Beach Magnificent Oceanviews 26	Jun 1 - 6	287.0	2 queen beds	4.38	396	Hotel room	Laguna Beach	US	California
Su mejor opción en Playa del Carmen, a pasos de la quinta av.	Jun 4 - 9	89.0	2 beds	4.78	231	Apartment	Playa del Carmen	Mexico	
Cozy Cabin #2 - private cabin in the wilderness!	Jun 4 - 9	71.0	2 beds	4.89	90	Tiny home	Maynooth	Canada	
Villa Vista Puerto	Jun 26 - Jul 1	138.0	2 sofa beds	4.86	493	Guesthouse	Cabo Rojo	Puerto Rico	
Split View Two	Aug 2 - 7	134.0	1 double bed	4.95	81	Tiny home	Canning	Canada	
The Sugar Shack a unique cabin in the Rainforest	Sep 4 - 9	75.0	2 beds	4.92	447	Cottage	Luquillo	Puerto Rico	
Noelani-My Perfect Stays Special: Jun 9-16 $189	Jun 9 - 14	302.0	1 king bed	4.82	71	Condo	Lahaina	US	Hawaii
Amazing Hyde One-bedroom apartment on the Beach	Jun 4 - 9	248.0	2 beds	4.56	62	Condo	Hollywood	US	Florida
East hill cabins #1	Jun 11 - 16	91.0	2 beds	4.82	334	Cabin	Naples	US	New York
Sunset Wilderness Camp	Jun 1 - 6	34.0	1 bed	4.0	3	Campsite	Nemaiah Valley	Canada	
Chateau Ridge Chalet w/ Mountain View	Jun 5 - 12	154.0	4 beds	4.84	95	Loft	The Blue Mountains	Canada	
Cozy Blue Mountain Retreat @!@Spring Rates@!@	Jun 4 - 9	118.0	2 queen beds	4.72	365	Loft	The Blue Mountains	Canada	
5 min to Airport with Terrace in a Safe area !	Jun 3 - 8	31.0	1 queen bed	4.85	227	Room	Mexico City	Mexico	
The Cabin at Fernwood Hills	Jun 11 - 16	112.0	1 king bed	4.9	597	Tiny home	Komoka	Canada	
Hut #3 Romantic Luxury on the sand	Jul 11 - 16	132.0	2 beds	4.86	29	Place to stay	Punta Cana	Dominican Republic	
State Park A-Frame with Hiking Trails & Arcade	Jun 4 - 9	239.0	2 beds	4.97	29	Home	Hilbert	US	Wisconsin
Luxury Dome w/ Hot Tub & Mountain View	Aug 7 - 12	291.0	2 beds	5.0	11	Dome	Whittier	US	North Carolina
Hut #3 Romantic Luxury on the sand	Jul 11 - 16	132.0	1 king bed	4.86	29	Place to stay	Punta Cana	Dominican Republic	
State Park A-Frame with Hiking Trails & Arcade	Jun 4 - 9	239.0	2 beds	4.97	29	Home	Hilbert	US	Wisconsin
House with pool in the heights of Santa Teresa	Jun 4 - 9	230.0	3 beds	5.0	6	Home	Puntarenas Province	Costa Rica	
Kapetsowa Container Loft near Monteverde Reserve	Sep 5 - 10	159.0	2 queen beds	4.87	396	Loft	Monteverde	Costa Rica	
Cabin Over a water fall	Jun 5 - 10	82.0	1 bed	4.94	133	Nature lodge	Quesada	Costa Rica	
Cozy Houseboat “Wild One”	Jun 11 - 16	233.0	2 beds	5.0	4	Boat	Key West	US	Florida
Pipe’s Lodge	Jun 4 - 9	51.0	1 double bed	4.87	31	Cabin	Zapotal	Costa Rica	
New Carriage House * 1 Block to Beach * King Bed!	Aug 13 - 18	231.0	1 king bed	0.0	0	Guesthouse	Destin	US	Florida
Beachfront Bungalow with private hydromassage Pool	Jul 3 - 9	162.0	1 queen bed	4.95	149	Tiny home	Playa Hermosa	Costa Rica	
Bellingham A-Frame - Hot tub & Firepit	Jun 11 - 16	232.0	2 beds	0.0	0	Home	Bellingham	US	Washington
Villa Bohème 3, 1BR with Patio	Jul 8 - 13	115.0	1 bed	0.0	0	Apartment	San Juan	Puerto Rico	
Loft Boutique Cd de México Mountain view 🏔	Jul 9 - 14	57.0	1 queen bed	4.84	155	Loft	Mexico City	Mexico	
New lux cabin w/mount index view	Jun 25 - 30	253.0	2 beds	4.86	7	Cabin	Gold Bar	US	Washington
Guesthouse Great Ocean & Mountain Views near Beach	Jul 31 - Aug 5	468.0	1 queen bed	4.87	694	Home	Malibu	US	California
The Little Tree House at Country Club of Orlando	Jul 9 - 14	127.0	1 queen bed	4.98	604	Tiny home	Orlando	US	Florida
Paradise awaits on this cozy houseboat!	Jul 17 - 22	276.0	1 king bed	4.77	98	Boat	Marathon	US	Florida
Hut #2 Romantic Luxury on the sand	Aug 1 - 6	186.0	2 beds	4.94	226	Hut	Uvero Alto - Bavaro - Punta Cana	Dominican Republic	
Loft ALAMO /El Refugio Cabañas Mazamitla	Jun 25 - 30	58.0	2 king beds	4.44	146	Loft	Mazamitla	Mexico	
Hut #2 Romantic Luxury on the sand	Aug 1 - 6	186.0	2 beds	4.94	226	Hut	Uvero Alto - Bavaro - Punta Cana	Dominican Republic	
Pool View Beach Residence / Private Beach Access	Jun 21 - 26	37.0	1 queen bed	4.71	156	Apartment	Punta Cana	Dominican Republic	
Eagles Nest Treehouse w/Hot tub!	Jun 4 - 10	244.0	3 beds	0.0	0	Treehouse	Wardensville	US	West Virginia
Modern Houseboat On the water	Aug 6 - 11	173.0	1 bed	4.97	264	Boat	Stuart	US	Florida
BoHo lofts & studios new modern w/ ocean-view pool	Jun 1 - 7	38.0	1 queen bed	4.59	183	Apartment	Playa del Carmen	Mexico	
Oceanfront 14th Floor Brand New Beachfront Flat	Jun 14 - 19	302.0	2 beds	4.85	646	Condo	Miami Beach	US	Florida
Hobbithenge	Jun 5 - 10	142.0	1 double bed	4.83	304	Earthen home	Weaverville	US	North Carolina
Beachfront Bungalow w/ private hydromassage pool 2	Jun 10 - 15	147.0	2 beds	4.9	68	Shipping container	Playa Hermosa	Costa Rica	
Luxury Treehouse, Romantic, Views, Hike-Waterfall	Jul 29 - Aug 3	228.0	1 bed	5.0	18	Cabin	Marion	US	North Carolina
Quiet and Private Retreat in a 1967 Airstream on the Coast.	Jun 25 - 30	220.0	2 beds	4.93	347	Camper/RV	Half Moon Bay	US	California
Tiny Dome River Glamping Experience	Jun 18 - 23	143.0	1 queen bed	4.86	289	Dome	Hiawassee	US	Georgia
New Boho Sabana Apartment Close to Airports w/ AC	Jun 23 - 28	89.0	1 bed	4.85	81	Apartment	San José	Costa Rica	
Elegant Ocean Front Condo! Rosarito Beach !WOW!!	Jun 10 - 15	171.0	2 queen beds	4.81	245	Condo	Rosarito	Mexico	
Highest Reviewed - Ocean Front + Free Parking!	Jun 18 - 23	170.0	2 queen beds	4.85	278	Condo	Atlantic City	US	New Jersey
The Dawn of Annapurna Cabin	Jul 29 - Aug 3	61.0	1 queen bed	4.87	188	Cabin	Santa Marta	Colombia	
Cabo Center,Ocean view Great price!	Jun 6 - 11	55.0	1 king bed	4.94	615	Home	Cabo San Lucas	Mexico	
nortehaus - Nordic and Japanese inspired escape	Jun 18 - 23	402.0	2 queen beds	5.0	24	Home	Kawartha Lakes	Canada	
Architect's Loft in Cholula	Jun 18 - 23	32.0	1 queen bed	4.81	202	Loft	Cholula	Mexico	
Jungle house 3km to Jaco beach & town center	Jun 30 - Jul 5	76.0	2 queen beds	4.84	153	Cabin	Jacó	Costa Rica	
Malibu Charming GH, Mins Drive to Beach & Hike	Jul 22 - 27	332.0	1 queen bed	4.78	558	Tiny home	Malibu	US	California
Studio near Disney	Jun 10 - 15	80.0	1 king bed	4.43	132	Apartment	Orlando	US	Florida
Charming Treehouse with Pool	Sep 10 - 15	217.0	1 bed	5.0	172	Treehouse	Río Grande	Puerto Rico	
Oceanfront loft	Jun 10 - 15	100.0	2 beds	4.92	177	Loft	Mazatlán	Mexico	
Majestic Ocean Front Terrace II	Jul 23 - 29	57.0	2 queen beds	4.83	240	Apartment	Cancún	Mexico	
New! Bamboo Bosque Mio (Stars & Campfires)	Jun 4 - 9	113.0	3 beds	4.82	56	Home	Real Montecassino	Mexico	
Cabin for 2 w/ Hot Tub, Muskoka Romantic Getaway	Jun 1 - 6	335.0	1 queen bed	4.97	179	Cottage	Huntsville	Canada	
Old Havana+Cuban Style Place+Roof Top+WiFi	Jun 4 - 9	57.0	1 king bed	4.48	161	Apartment	La Habana	Cuba	
Heated Pool, Putt Putt Golf	Jun 11 - 16	468.0	5 beds	4.93	15	Home	Vero Beach	US	Florida
Guest Suite in Historic Architecture Home	Jun 16 - 23	55.0	2 queen beds	4.82	443	Room	Cuauhtémoc	Mexico	
$87 a night Molokai Escape Condo	Jun 29 - Jul 6	101.0	1 double bed	4.76	337	Condo	Kaunakakai	US	Hawaii
Treehouse on a Coffee Farm with Ocean View	Jun 25 - Jul 2	74.0	1 king bed	5.0	13	Treehouse	Atenas	Costa Rica	
Design Casa Patchouli with private pool and lounge	Jun 21 - 26	283.0	1 double bed	4.98	80	Apartment	Tulum	Mexico	
Pequeño espacio Romántico piscina y muelle privado	Jul 17 - 22	220.0	1 bed	4.95	139	Shipping container	Jauca	Puerto Rico	
Haven in the Woods- tiny home WiFi & solar power	Jun 11 - 16	76.0	1 king bed	5.0	4	Tiny home	Peachland	Canada	
Mimosa Y - Beautiful Unique Container Home w' Pool	Jun 3 - 8	90.0	1 king bed	4.85	54	Shipping container	Puerto Viejo de Talamanca	Costa Rica	
Mimosa Y - Beautiful Unique Container Home w' Pool	Jun 3 - 8	90.0	1 king bed	4.85	54	Shipping container	Puerto Viejo de Talamanca	Costa Rica	
COMFORTABLE BEACH DEPA OVERLOOKING THE SEA	Jun 4 - 9	42.0	1 bed	4.57	226	Apartment	Acapulco	Mexico	
Waterfront Glamping Muddy Creek PA	Jun 4 - 10	102.0	1 king bed	4.95	22	Yurt	Airville	US	Pennsylvania
2 Pools on property | Walk to the beach | Rosalina Ocean Park | Luxury Suite 3	Jul 27 - Aug 2	164.0	2 queen beds	4.81	212	Boutique hotel	San Juan	Puerto Rico	
Love nest when singing of the Sea!	Jun 6 - 11	41.0	9 beds	4.68	266	Room	Acapulco	Mexico	
Casa La Paz vistas al mar @ Pinilla Highlands	Jul 30 - Aug 6	146.0	1 bed	4.86	7	Home	Pinilla	Costa Rica	
Lovely farm cabin experience	Jun 11 - 16	114.0	2 beds	5.0	5	Farm stay	Siler City	US	North Carolina
Pine River Bunkies: Heron’s Landing Off Grid Cabin	Jun 1 - 6	120.0	2 beds	4.89	103	Tiny home	Horning's Mills	Canada	
The Alpine Airstream at Mt. Rainier with Hot Tub	Jun 11 - 16	286.0	1 queen bed	5.0	11	Camper/RV	Ashford	US	Washington
Surf, Sand & Sunsets - Goldenrod CdM BEACH STUDIO	Jul 31 - Aug 7	229.0	3 beds	4.8	289	Bungalow	Newport Beach	US	California
Refugio LOS PAPIROS	Jun 4 - 9	18.0	3 beds	4.89	66	Hut	Guarne	Colombia	
Beach crab.	Jun 1 - 6	43.0	3 beds	4.74	270	Room	Acapulco	Mexico	
Fire & Water | Rejuvenating Stay on the Riverbend	Jun 4 - 9	743.0	1 double bed	4.83	175	Cabin	Fennville	US	Michigan
Black rose -Right house-	Jun 11 - 16	243.0	1 queen bed	4.63	275	Home	Tamanique	El Salvador	
Casa El Paraiso, Las Galeras (room #5)	Jun 10 - 15	286.0	3 beds	4.94	270	Nature lodge	Las Galeras	Dominican Republic	
Holistic House Diamond	Jun 5 - 11	160.0	3 beds	4.96	274	Room	Monteverde	Costa Rica	
Malibu Serene Guest House, Mins to Beach & Hike	Jun 25 - 30	252.0	3 beds	4.77	298	Tiny home	Malibu	US	California
Free Transportation / Premium Beach Loft 1711th	Jun 1 - 6	138.0	3 beds	5.0	15	Apartment	Cancún	Mexico	
Cozy cabin on 5 acres !	Jun 4 - 9	86.0	2 beds	4.73	124	Cabin	Gilmour	Canada	
OceanfrontStudio-Slps4-Pool-Pickleball-HBOMax-Dis+	Jun 9 - 16	291.0	2 beds	4.94	80	Condo	Ocean City	US	Maryland
Amazing Ocean Front II	Jul 9 - 14	45.0	1 queen bed	4.88	306	Apartment	Cancún	Mexico	
LUXE & STYLISH/3BR/LAS OLAS CONDO/12TH FLR/ROSARITO	Jun 11 - 16	173.0	4 beds	4.8	207	Condo	Rosarito	Mexico	
Lovely Private Room-Manhattan, 70s-Upper East Side	Jul 9 - 14	103.0	1 bed	4.93	30	Room	New York	US	New York
1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON	Aug 6 - 11	229.0	1 queen bed	4.85	74	Cottage	Islamorada	US	Florida
“What a wonderful world” - Modern Farmhouse	Jun 4 - 9	165.0	1 queen bed	4.87	478	Apartment	Gordonville	US	Pennsylvania
Glass Roof House #2 at Glass 20.87	Jun 10 - 15	221.0	2 queen beds	4.93	68	Cottage	Quintana Roo	Mexico	
Modern Cabin On Pond, AC & Porch	Jun 2 - 7	231.0	1 king bed	0.0	0	Cabin	Georgetown	US	Maine
Romantic Ocean Penthouse w/ panoramic marina views	Jun 1 - 8	247.0	1 bed	4.77	111	Apartment	Marina del Rey	US	California
Posada Sarita	Jun 3 - 10	50.0	3 beds	4.56	176	Hotel	Tepoztlán	Mexico	
Beach Bungalow on the Sand, Steps to the Ocean	Jun 3 - 8	483.0	2 beds	4.93	213	Cottage	Oceanside	US	California
Historic Venice Apt 1/2 blocks to beach+parking	Nov 16 - 21	185.0	2 beds	4.94	431	Apartment	Los Angeles	US	California
Amazing Modern Home with Pool and Hot Tub!	Jul 11 - 16	167.0	2 beds	4.84	136	Home	Cape Coral	US	Florida
Malibu, Carbon Beach - Suite Three	Jun 4 - 9	649.0	3 beds	4.8	425	Condo	Malibu	US	California
Cozy Farm Stay Getaway	Jun 11 - 16	99.0	2 queen beds	4.86	183	Farm stay	Saint Marys	Canada	
UpStream (Waterfront Cabin With Wood Stove & WiFi)	Jun 25 - 30	97.0	1 bed	4.87	101	Tiny home	Mill Village	Canada	
M6. Alojamiento ideal para explorar Tepoztlán	Jun 25 - Jul 1	40.0	1 bed	4.86	28	Place to stay	Tepoztlán	Mexico	
Scenic Solitude-Amazing Mountain views on 5 acres	Jun 4 - 9	302.0	2 beds	5.0	44	Cabin	Mineral Bluff	US	Georgia
Lovely Private Room-Manhattan, 70s-Upper East Side	Jul 9 - 14	103.0	1 bed	4.93	30	Room	New York	US	New York
1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON	Aug 6 - 11	229.0	1 queen bed	4.85	74	Cottage	Islamorada	US	Florida
“What a wonderful world” - Modern Farmhouse	Jun 4 - 9	165.0	1 queen bed	4.87	478	Apartment	Gordonville	US	Pennsylvania
Glass Roof House #2 at Glass 20.87	Jun 10 - 15	221.0	1 queen bed	4.93	68	Cottage	Quintana Roo	Mexico	
“Playa Luna”- Breathtaking Ocean and City Views	Jul 2 - 7	138.0	1 bed	4.88	159	Condo	Luquillo	Puerto Rico	
Peace, Beauty & Ocean View, Malibu	Sep 12 - 17	189.0	1 king bed	4.95	1014	Room	Malibu	US	California
Lount Treetop Rentals - Unit 2	Jun 1 - 6	135.0	1 bed	4.97	173	Treehouse	Sundridge	Canada	
Romantic Ocean Penthouse w/ panoramic marina views	Jun 1 - 8	247.0	2 beds	4.77	111	Apartment	Marina del Rey	US	California
Posada Sarita	Jun 3 - 10	50.0	3 beds	4.56	176	Hotel	Tepoztlán	Mexico	
Amazing Modern Home with Pool and Hot Tub!	Jul 11 - 16	167.0	1 queen bed	4.84	136	Home	Cape Coral	US	Florida
Cozy Farm Stay Getaway	Jun 11 - 16	99.0	2 double beds	4.86	183	Farm stay	Saint Marys	Canada	
Beach Front Condo In Casa Del Mar	Jun 18 - 24	205.0	2 beds	4.72	389	Apartment	Galveston	US	Texas
Laguna Beach Studio Oceanviews 49	Jun 1 - 6	148.0	2 beds	4.36	273	Apartment	Laguna Beach	US	California
Charming Beach Condo in Bavaro Top Location	Jun 3 - 8	57.0	1 queen bed	4.76	200	Apartment	Punta Cana	Dominican Republic	
400+ Airbnb Visits: Incredible Mountain Cabin	Jun 4 - 9	137.0	2 double beds	4.85	325	Cabin	Woodford	US	Vermont
the legendary wildwood cabins ~ CABIN 2	Sep 24 - 29	126.0	2 double beds	4.99	742	Cabin	Bowen Island	Canada	
Oceanfront Laguna Beach Amazing Views 28	Jun 4 - 9	276.0	2 double beds	4.63	390	Hotel room	Laguna Beach	US	California
Lake Sports Home & Super water sports!	Aug 20 - 25	154.0	3 beds	5.0	18	Place to stay	Hopatcong	US	New Jersey
Waterfront Sea Cottage	Jun 13 - 18	82.0	1 queen bed	4.8	276	Guesthouse	Naples	US	Florida
Cedar Springs Cabin - A Cozy Hideaway in the Woods	Jun 16 - 21	346.0	2 beds	4.97	76	Cabin	Reaboro	Canada	
Beachfront at its finest @ San Jose del Cabo! 🤩🏄🏼‍♂️🏖	Jun 22 - 29	78.0	1 bed	4.75	186	Apartment	San José del Cabo	Mexico	
Tiny Beach front house	Jul 24 - 29	89.0	2 beds	4.73	140	Cabin	Puerto Viejo de Talamanca	Costa Rica	
Coyote's Den at The Howling Woods	Jun 28 - Jul 3	123.0	2 single beds	4.87	303	Tiny home	Tremont	US	Maine
Near Ocean, BBQ, Dog OK, Cute Manzanita Beach	Jun 1 - 6	147.0	2 queen beds	0.0	0	Home	Manzanita	US	Oregon
Stunning house on lake Ontario	Jun 25 - 30	210.0	2 beds	4.9	192	Home	Hamilton	Canada	
Oceanfront Lookout Point w/two Kayaks,Beach & Dock	Aug 12 - 17	254.0	1 queen bed	4.86	90	Tiny home	Key Largo	US	Florida
Saint Tropez Boutique Hotel	Jun 22 - 27	125.0	1 king bed	4.78	74	Hotel	Willemstad	Curaçao	
the legendary wildwood cabins ~ CABIN 4	Jul 8 - 13	173.0	1 queen bed	4.98	678	Cabin	Bowen Island	Canada	
1-Private room/bbq/patio. 2 full bed 1 couch bed.	Jul 29 - Aug 3	258.0	2 beds	4.83	40	Room	Key West	US	Florida
Beautiful corner unit condo right on the beach!	Jun 3 - 8	298.0	2 sofa beds	4.97	73	Condo	East End	U.S. Virgin Islands	
House Boat Sunset Bay Marina Stuart Fl	Sep 10 - 15	127.0	2 beds	4.92	279	Boat	Stuart	US	Florida
Surf Shack Guiones - perfect beach location	Jun 17 - 24	130.0	2 beds	4.82	278	Apartment	Guanacaste Province	Costa Rica	
Glamping Cabin at Balderson Blueberries	Jun 11 - 16	80.0	1 queen bed	4.89	76	Hut	Balderson	Canada	
